Sel_Coeff	Mut_freq	Generation_Mean	Generation_sd	Population_size	Dominance
-0.05	0.05	407.7775	95.4965547738986	42000	0.25
-0.05	0.1	465.3175	97.3718382334049	42000	0.25
-0.05	0.4	563.54	97.1035847196875	42000	0.25
-0.05	0.7	610.67	108.793225961167	42000	0.25
-0.1	0.05	232.5625	47.0581796761848	42000	0.25
-0.1	0.1	258.9125	53.119101471154	42000	0.25
-0.1	0.4	309.06	52.8393925353876	42000	0.25
-0.1	0.7	329.5925	49.4938435071755	42000	0.25
-0.2	0.05	130.11	27.9634186385515	42000	0.25
-0.2	0.1	141.0925	26.5508250252946	42000	0.25
-0.2	0.4	165.4075	26.057896666783	42000	0.25
-0.2	0.7	177.76	28.2548800318464	42000	0.25
-0.3	0.05	90.6275	17.4444695403403	42000	0.25
-0.3	0.1	98.225	15.1047926799662	42000	0.25
-0.3	0.4	113.18	17.2419782663226	42000	0.25
-0.3	0.7	120.62	16.3181280561879	42000	0.25
-0.4	0.05	69.8125	11.9427348643475	42000	0.25
-0.4	0.1	75.92	12.2258856816901	42000	0.25
-0.4	0.4	86.35	11.4380756220108	42000	0.25
-0.4	0.7	90.8425	12.5387697009729	42000	0.25
0	0.05	1649.33333333333	233.324523643215	42000	0.25
