Sel_Coeff Mut_freq Generation_Mean Generation_sd Population_size Dominance
-0.05 0.05 408 95.4965547738986 42000 0.25
-0.1 0.05 233 47.0581796761848 42000 0.25
-0.2 0.05 130 27.9634186385515 42000 0.25
-0.3 0.05 91 17.4444695403403 42000 0.25
-0.4 0.05 70 11.9427348643475 42000 0.25
-0.05 0.1 465 97.3718382334049 42000 0.25
-0.1 0.1 259 53.119101471154 42000 0.25
-0.2 0.1 141 26.5508250252946 42000 0.25
-0.3 0.1 98 15.1047926799662 42000 0.25
-0.4 0.1 76 12.2258856816901 42000 0.25
-0.05 0.4 564 97.1035847196875 42000 0.25
-0.1 0.4 309 52.8393925353876 42000 0.25
-0.2 0.4 165 26.057896666783 42000 0.25
-0.3 0.4 113 17.2419782663226 42000 0.25
-0.4 0.4 86 11.4380756220108 42000 0.25
-0.05 0.7 611 108.793225961167 42000 0.25
-0.1 0.7 330 49.4938435071755 42000 0.25
-0.2 0.7 178 28.2548800318464 42000 0.25
-0.3 0.7 121 16.3181280561879 42000 0.25
-0.4 0.7 91 12.5387697009729 42000 0.25
